Species for biannual dendroband surveys,Species code,Date updated
Acer rubra,acru,Oct-18
Carpinus caroliniana,caca,
Carya cordiformis,caco,
Carya glabra,cagl,
Carya ovalis,caovl,
Carya tomentosa,cato,
Cercis canadensis,ceca,
Cornus florida,cofl,
Fagus grandifolia,fagr,
Fraxinus americana,fram,
Juglans nigra,juni,
Liriodendron tulipifera,litu,
Nyssa sylvatica,nysy,
Pinus strobus,pist,
Platanus occidentalis,ploc,
Quercus alba,qual,
Quercus prinus,qupr,
Quercus rubra,quru,
Quercus velutina,quve,
Robinia pseudoacacia,rops,
Sassafras albidum,saal,
Tilia americana,tiam,
Ulmus rubra,ulru,
