tag,stemtag,sp,quadrat,survey.ID,measure,notes,field.recorders,tag_issue
12508,1,litu,131,2021.11,53.81,tag on ground,Jen Jordan,TRUE
20712,1,litu,212,2021.11,86.62,"no tag, right tree?",Jen Jordan,TRUE
40563,1,fagr,406,2021.08,75.67,needs new tag,Jen Jordan,TRUE
40563,1,fagr,406,2021.09,76.5,tag embedded/ can’t read,Jen Jordan,TRUE
40563,1,fagr,406,2021.1,76.14,tag embedded/ can’t read,Jen Jordan,TRUE
40563,1,fagr,406,2021.11,76.06,needs new tag,Jen Jordan,TRUE
50288,1,quru,505,2021.11,57.96,loose tag,Nate Looker,TRUE
60462,1,fagr,615,2021.08,96.79,needs new tag,Jen Jordan,TRUE
60462,1,fagr,615,2021.09,96.98,needs new tag,Jen Jordan,TRUE
60462,1,fagr,615,2021.1,97.07,needs new tag,Jen Jordan,TRUE
62300,1,quve,625,2021.11,32.73,replace tag,Nate Looker,TRUE
72324,1,litu,726,2021.08,60.44,no tag,Jen Jordan,TRUE
72324,1,litu,726,2021.09,60.94,no tag,Jen Jordan,TRUE
72324,1,litu,726,2021.1,60.88,no tag,Jen Jordan,TRUE
92140,1,cato,920,2021.01,7.95,tag on tree is duplicate of 92138; replace with correct number,"Bill McShea, Jessica Shue",TRUE
100612,1,litu,1003,2021.11,31.33,band irregular & didn’t adjust/ measurement error likely. tag missing. right tree?,Nate Looker,TRUE
102150,1,qual,1020,2021.11,81.94,tag embedded; right tree? needs new tag,Jen Jordan,TRUE
121374,1,juni,1216,2021.11,123.44,needs new tag,Jen Jordan,TRUE
122121,1,pist,1220,2021.11,32.68,needs new tag,Jen Jordan,TRUE
132371,1,quru,1325,2021.01,59.4,replace tag,"Bill McShea, Jessica Shue",TRUE
132371,1,quru,1325,2021.11,82.11,needs new tag. tag embedded. right tree?,Jen Jordan,TRUE
132539,1,litu,1331,2021.08,50.39,tag on ground,Jen Jordan,TRUE
132539,1,litu,1331,2021.09,50.5,tag on ground,Jen Jordan,TRUE
132539,1,litu,1331,2021.1,50.52,tag on ground,Jen Jordan,TRUE
132539,1,litu,1331,2021.11,50.43,tag on ground,Jen Jordan,TRUE
140813,1,litu,1410,2021.11,112.53,"no tag, right tree?",Nate Looker,TRUE
140829,1,litu,1411,2021.11,50.25,"no tag, right tree?",Nate Looker,TRUE
142380,1,qual,1425,2021.08,41.69,tag on ground,Jen Jordan,TRUE
142380,1,qual,1425,2021.09,41.97,tag on ground,Jen Jordan,TRUE
142380,1,qual,1425,2021.1,41.92,tag on ground,Jen Jordan,TRUE
142380,1,qual,1425,2021.11,41,tag on ground,Jen Jordan,TRUE
142575,1,quve,1426,2021.11,93.58,tag on ground,Jen Jordan,TRUE
172470,1,quru,1728,2021.08,40.51,tag says 172470 but written on band is 170125,Jen Jordan,TRUE
172470,1,quru,1728,2021.09,42.88,tag says 172470 but written on band is 170125,Jen Jordan,TRUE
172470,1,quru,1728,2021.1,43.27,tag says 172470 but written on band is 170125,Jen Jordan,TRUE
172499,1,qual,1730,2021.08,44.33,no tag,Jen Jordan,TRUE
172499,1,qual,1730,2021.09,46.15,no tag,Jen Jordan,TRUE
172499,1,qual,1730,2021.1,45.81,no tag,Jen Jordan,TRUE
190794,1,quru,1914,2021,15.88,missing tag,Jessica Shue,TRUE
192466,1,quru,1926,2021.08,117.48,tag off,Jen Jordan,TRUE
192466,1,quru,1926,2021.09,116.46,tag off,Jen Jordan,TRUE
192466,1,quru,1926,2021.1,117.43,tag off,Jen Jordan,TRUE
202072,1,qual,2020,2021.1,37.34,no tag,Jen Jordan,TRUE
202072,1,qual,2020,2021.11,35.77,no tag,Bill McShea,TRUE
202203,1,quru,2017,2021.11,82.8,no tag,Bill McShea,TRUE
202215,1,qual,2017,2021.09,108.21,needs new tag,Jen Jordan,TRUE
202283,1,litu,2020,2021,16.03,missing tag,Jessica Shue,TRUE
